symbol,dir,regime,entry_date,exit_date,entry,exit,size,pnl,pnl_pct,reason,hold_days,exit_month
BTC-USD,LONG,trend,2020-01-13,2020-02-26,8114.39517,8780.857375,3.906623607947376,2569.313479138469,8.105118543604277,ATR trailing stop,44,2020-02
ETH-USD,LONG,trend,2020-02-19,2020-03-08,258.57922499999995,199.33028500000003,64.88786462179293,-3857.47131425283,-22.990350553104154,Hard stop-loss,18,2020-03
TLT,LONG,trend,2020-04-01,2020-05-26,138.78212633666993,135.84862691345214,231.04547053865744,-684.0491965476858,-2.1333216508141937,ATR trailing stop,55,2020-05
BTC-USD,LONG,trend,2020-05-27,2020-06-26,9208.672035,9157.628895,2.505236668343876,-150.81717369824884,-0.6537399601830837,ATR trailing stop,30,2020-06
GLD,LONG,trend,2020-04-01,2020-07-24,149.464941947937,178.68212694854736,314.07983264224254,9165.304484763508,19.52394199931205,RSI overbought exit,114,2020-07
ETH-USD,LONG,trend,2020-04-24,2020-07-25,187.683795,305.10737,95.74634439001643,11213.665136132971,62.40201378600641,RSI overbought exit,92,2020-07
BTC-USD,LONG,trend,2020-07-06,2020-07-27,9348.8721,11024.44502,3.333456020840945,5548.69913590369,17.804805298170663,RSI overbought exit,21,2020-07
TLT,LONG,trend,2020-07-29,2020-08-12,141.76406817779542,138.2206431060791,437.36496542342417,-1561.8605573302787,-2.51902280051587,Hard stop-loss,14,2020-08
QQQ,LONG,trend,2020-04-24,2020-09-02,206.31478835144043,292.5551226654053,7.965246935415474,686.4595038446644,41.772004798137914,RSI overbought exit,131,2020-09
BTC-USD,LONG,trend,2020-08-02,2020-09-03,11076.885675,10135.779575,3.177454052713344,-3022.5273653662393,-8.587629298385794,ATR trailing stop,32,2020-09
ETH-USD,LONG,trend,2020-08-11,2020-09-05,379.18949999999995,334.842495,64.79077608185449,-2894.971575972114,-11.783513914546678,ATR trailing stop,25,2020-09
QQQ,LONG,trend,2020-09-03,2020-09-08,277.7780496856689,260.85101800231934,124.16988216387549,-2108.3054975392397,-6.112506695962318,Hard stop-loss,5,2020-09
GLD,LONG,trend,2020-08-13,2020-09-21,183.3483348312378,179.5020522720337,330.4890510736389,-1283.018965736681,-2.117381089515672,ATR trailing stop,39,2020-09
BTC-USD,LONG,trend,2020-09-19,2020-09-21,11086.190325,10412.01139,3.3195495278806737,-2272.533552880308,-6.175168622589925,Bearish cross exit,2,2020-09
BTC-USD,LONG,trend,2020-10-14,2020-10-22,11423.598944999998,12962.035740000001,4.279607518500152,6528.433249011318,13.353714241935016,RSI overbought exit,8,2020-10
QQQ,LONG,trend,2020-09-28,2020-10-28,267.91024171447754,262.4840333953857,185.12086319768932,-1014.2226220883123,-2.044977859267419,ATR trailing stop,30,2020-10
BTC-USD,LONG,trend,2020-11-07,2020-11-18,14825.709149999999,17767.23194,2.0560135138562483,6011.280938583683,19.72084794378961,RSI overbought exit,11,2020-11
BTC-USD,LONG,trend,2020-11-26,2020-12-30,17158.044735,28861.102230000004,1.443540394390923,16852.174065016305,68.03920011326399,RSI overbought exit,34,2020-12
ETH-USD,LONG,trend,2020-11-25,2021-01-03,569.7847499999999,977.7908600000001,43.23015512311063,17595.897375921188,71.43545332513732,RSI overbought exit,39,2021-01
BTC-USD,LONG,trend,2021-01-11,2021-02-21,35422.172235,57379.865715,0.5844061515643121,12798.677997375808,61.82656859379646,RSI overbought exit,41,2021-02
ETH-USD,LONG,trend,2021-01-11,2021-02-28,1087.5535049999999,1418.4704100000001,15.03512284559945,4954.049441493369,30.297216005938054,ATR trailing stop,48,2021-02
USO,LONG,trend,2021-02-19,2021-03-18,39.6839683052063,40.465954220581054,2291.4731601564313,1773.3544071022918,1.9501394582786924,ATR trailing stop,27,2021-03
BTC-USD,LONG,trend,2021-02-22,2021-04-22,54114.713834999995,51665.11452,0.5727154562855681,-1432.5127990434034,-4.622152187936433,ATR trailing stop,59,2021-04
ETH-USD,LONG,trend,2021-03-08,2021-05-03,1834.0965899999999,3429.32448,13.715351995047117,21832.077631317876,86.7892440452114,RSI overbought exit,56,2021-05
QQQ,LONG,trend,2021-03-11,2021-05-10,307.9387803009033,315.7487259246826,89.09182029981868,690.1761463151049,2.5156934995405766,ATR trailing stop,60,2021-05
BTC-USD,LONG,trend,2021-04-30,2021-05-15,57723.11713499999,46739.608505000004,0.6488537778256521,-7157.018239908707,-19.108892218533498,Hard stop-loss,15,2021-05
ETH-USD,LONG,trend,2021-05-12,2021-05-19,3825.121605,2437.7005400000003,7.642446514827005,-10621.921278802933,-36.33502170815298,Hard stop-loss,7,2021-05
ETH-USD,LONG,trend,2021-06-03,2021-06-10,2858.678625,2469.854455,5.556893677203931,-2174.379290421669,-13.687933335108623,Bearish cross exit,7,2021-06
GLD,LONG,trend,2021-06-03,2021-06-16,175.28753127288817,171.09288961029054,58.92123915050279,-249.16968556571348,-2.412527696528619,ATR trailing stop,13,2021-06
USO,LONG,trend,2021-03-29,2021-07-19,41.92419016876221,45.835416152572634,1504.542067802461,5870.811766965496,9.307416278937076,ATR trailing stop,112,2021-07
TLT,LONG,trend,2021-07-20,2021-08-12,126.90083426132202,123.84588291091919,730.6364777118167,-2250.156158173111,-2.4268717734692467,ATR trailing stop,23,2021-08
QQQ,LONG,trend,2021-05-20,2021-09-20,318.78813172912595,355.26589197692874,282.8811083236635,10298.769646208922,11.420345817749,ATR trailing stop,123,2021-09
BTC-USD,LONG,trend,2021-08-12,2021-09-20,44421.199499999995,42994.11219000001,0.9611950678608633,-1413.0350123629,-3.3094140607121347,ATR trailing stop,39,2021-09
ETH-USD,LONG,trend,2021-08-12,2021-09-20,3047.4829799999998,2975.79136,11.38461457957369,-850.0596999880777,-2.450133826834354,ATR trailing stop,39,2021-09
QQQ,LONG,trend,2021-09-24,2021-09-28,362.7507184661865,349.6022127960205,259.9659158546658,-3436.3402505518384,-3.6439420902090784,Hard stop-loss,4,2021-09
BTC-USD,LONG,trend,2021-10-02,2021-11-18,47658.71745,56863.174190000005,0.8517396219331653,7791.367885341272,19.193956646875755,ATR trailing stop,47,2021-11
ETH-USD,LONG,trend,2021-10-23,2021-11-18,4169.20356,3994.9015500000005,10.021720829044806,-1786.8418722349886,-4.27652209790398,ATR trailing stop,26,2021-11
USO,LONG,trend,2021-10-27,2021-11-19,56.9056915260315,53.774620779418946,53.06601799674162,-166.72417758762256,-5.521109728244331,Hard stop-loss,23,2021-11
GLD,LONG,trend,2021-11-18,2021-11-22,173.9573964416504,168.72313149261475,507.9412978269022,-2675.8396206597795,-3.0283331913979166,Hard stop-loss,4,2021-11
ETH-USD,LONG,trend,2021-11-20,2021-12-16,4414.376085,3956.1309450000003,0.6370068233177502,-294.4253633381009,-10.470364600686251,Bearish cross exit,26,2021-12
QQQ,LONG,trend,2021-10-19,2022-01-07,364.83002793884276,369.4931678375244,273.0961599299567,1253.304166494773,1.257912154611205,ATR trailing stop,80,2022-01
USO,LONG,trend,2022-01-24,2022-02-04,60.1160116104126,64.90351266174316,1572.699578501133,7508.886140100037,7.942177501295228,RSI overbought exit,11,2022-02
USO,LONG,trend,2022-02-08,2022-03-02,63.62636093177795,75.41245616912842,1544.7907645337727,18183.751779410308,18.500213706607962,RSI overbought exit,22,2022-03
GLD,LONG,trend,2022-02-22,2022-03-08,177.50775449371338,191.49084350738525,553.4958493001177,7718.383852049395,7.855876992384727,RSI overbought exit,14,2022-03
