symbol,dir,regime,entry_date,exit_date,entry,exit,size,pnl,pnl_pct,reason,hold_days,exit_month
ETH-USD,LONG,trend,2020-01-19,2020-02-07,166.873395,223.21833500000002,125.46818976771458,7041.490823955082,33.63131772143788,RSI overbought exit,19,2020-02
BTC-USD,LONG,trend,2020-01-13,2020-02-26,8114.39517,8780.857375,3.906623607947376,2569.313479138469,8.105118543604277,ATR trailing stop,44,2020-02
ETH-USD,LONG,trend,2020-02-19,2020-03-08,258.57922499999995,199.33028500000003,69.19574610723659,-4113.567417155232,-22.990350553104154,Hard stop-loss,18,2020-03
TLT,LONG,trend,2020-04-01,2020-05-26,138.7821568572998,135.8485963989258,246.88348192336278,-730.9553752947473,-2.133365156371016,ATR trailing stop,55,2020-05
BTC-USD,LONG,trend,2020-06-06,2020-07-16,9671.133149999998,9129.15314,2.6695927458215514,-1471.2370240743232,-5.698496283654182,ATR trailing stop,40,2020-07
GLD,LONG,trend,2020-04-15,2020-07-24,161.866191104126,178.68212694854736,326.3505354545305,5476.227065434785,10.366710493754205,RSI overbought exit,100,2020-07
QQQ,LONG,trend,2020-04-24,2020-09-02,206.31483413238524,292.55515317993166,88.76551349209178,7649.972442297927,41.77198812646234,RSI overbought exit,131,2020-09
BTC-USD,LONG,trend,2020-08-02,2020-09-03,11076.885675,10135.779575,2.8897245443646247,-2748.8270070354133,-8.587629298385794,ATR trailing stop,32,2020-09
ETH-USD,LONG,trend,2020-08-11,2020-09-05,379.18949999999995,334.842495,59.540932558287395,-2660.3988682794757,-11.783513914546678,ATR trailing stop,25,2020-09
QQQ,LONG,trend,2020-09-03,2020-09-08,277.7780496856689,260.85101800231934,198.76522801623284,-3374.874934593277,-6.112506695962318,Hard stop-loss,5,2020-09
GLD,LONG,trend,2020-08-13,2020-09-21,183.3483348312378,179.5020522720337,194.62127590179733,-755.555402839167,-2.117381089515672,ATR trailing stop,39,2020-09
BTC-USD,LONG,trend,2020-10-17,2020-10-22,11365.8801,12962.035740000001,4.116425779154342,6517.098965968145,13.929353383377682,RSI overbought exit,5,2020-10
BTC-USD,LONG,trend,2020-11-07,2020-11-18,14825.709149999999,17767.23194,1.9967023694947843,5837.869650601953,19.72084794378961,RSI overbought exit,11,2020-11
BTC-USD,LONG,trend,2020-11-26,2020-12-30,17158.044735,28861.102230000004,1.4018976560789846,16366.028559630007,68.03920011326399,RSI overbought exit,34,2020-12
ETH-USD,LONG,trend,2020-11-25,2021-01-03,569.7847499999999,977.7908600000001,41.9830670305493,17088.29720578644,71.4354533251373,RSI overbought exit,39,2021-01
USO,LONG,trend,2020-12-10,2021-02-09,32.1132116104126,39.16608116912842,1868.347530781436,13162.576254741713,21.938124495145995,RSI overbought exit,61,2021-02
BTC-USD,LONG,trend,2021-01-11,2021-02-21,35422.172235,57379.865715,0.5894022429393001,12908.09396533367,61.82656859379647,RSI overbought exit,41,2021-02
ETH-USD,LONG,trend,2021-01-11,2021-02-28,1087.5535049999999,1418.4704100000001,15.163658192754358,4996.401637170393,30.297216005938054,ATR trailing stop,48,2021-02
USO,LONG,trend,2021-02-19,2021-03-18,39.6839683052063,40.465954220581054,2402.829064915816,1859.5319316291066,1.9501394582786924,ATR trailing stop,27,2021-03
BTC-USD,LONG,trend,2021-02-22,2021-04-22,54114.713834999995,51665.11452,0.6007767390366386,-1502.7014874353592,-4.622152187936434,ATR trailing stop,59,2021-04
ETH-USD,LONG,trend,2021-03-08,2021-05-03,1834.0965899999999,3429.32448,14.403702875769635,22927.79357582641,86.7892440452114,RSI overbought exit,56,2021-05
QQQ,LONG,trend,2021-03-11,2021-05-10,307.9387803009033,315.748756439209,94.19476623510847,729.7105005891145,2.5157034068420985,ATR trailing stop,60,2021-05
BTC-USD,LONG,trend,2021-04-30,2021-05-15,57723.11713499999,46739.608505000004,0.6815004669283939,-7517.119324877244,-19.108892218533498,Hard stop-loss,15,2021-05
ETH-USD,LONG,trend,2021-05-12,2021-05-19,3825.121605,2437.7005400000003,8.026630063121637,-11155.882150976486,-36.33502170815298,Hard stop-loss,7,2021-05
ETH-USD,LONG,trend,2021-06-03,2021-06-10,2858.678625,2469.854455,5.827082480580088,-2280.102554657406,-13.687933335108626,Bearish cross exit,7,2021-06
GLD,LONG,trend,2021-06-03,2021-06-16,175.28753127288817,171.09288961029054,560.5636086334746,-2370.545156832341,-2.412527696528618,ATR trailing stop,13,2021-06
USO,LONG,trend,2021-03-29,2021-07-19,41.92419016876221,45.835416152572634,1580.1070670882968,6165.6708450011065,9.307416278937076,ATR trailing stop,112,2021-07
ETH-USD,LONG,trend,2021-08-03,2021-08-07,2510.29452,3158.7298450000003,14.498803109907564,9355.738304583883,25.705214667600057,RSI overbought exit,4,2021-08
QQQ,LONG,trend,2021-07-15,2021-09-20,349.91575589904784,355.26589197692874,278.7863686976675,1471.7363516015214,1.508672533456469,ATR trailing stop,67,2021-09
BTC-USD,LONG,trend,2021-08-02,2021-09-20,39167.39391,42994.11219000001,1.0381769134322922,3928.1750778161627,9.660392969990196,ATR trailing stop,49,2021-09
ETH-USD,LONG,trend,2021-08-12,2021-09-20,3047.4829799999998,2975.79136,12.290982778393099,-917.7358671329483,-2.450133826834354,ATR trailing stop,39,2021-09
BTC-USD,LONG,trend,2021-10-02,2021-11-18,47658.71745,56863.174190000005,0.9372071390253589,8573.18999477958,19.193956646875755,ATR trailing stop,47,2021-11
QQQ,LONG,trend,2021-10-19,2022-01-07,364.8301195007324,369.4931983520508,300.4998240076361,1379.047845939548,1.2578951041455284,ATR trailing stop,80,2022-01
USO,LONG,trend,2022-02-08,2022-03-02,63.62636093177795,75.41245616912842,1678.6670196328141,19759.61088458349,18.50021370660797,RSI overbought exit,22,2022-03
GLD,LONG,trend,2022-02-25,2022-03-08,176.567658052063,191.49084350738525,604.6655945818462,9000.379221448316,8.430132364462692,RSI overbought exit,11,2022-03
GLD,LONG,trend,2022-03-09,2022-04-05,185.83858932495116,179.22208149261473,651.9955101943402,-4337.303798341209,-3.579639876087773,ATR trailing stop,27,2022-04
ETH-USD,LONG,trend,2022-03-31,2022-04-11,3283.150755,2978.25013,18.625169331200322,-5734.296182795733,-9.377543040359114,ATR trailing stop,11,2022-04
